City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,28.73,76,20,5.14,US,1697580697
1,olyokminsk,60.3736,120.4264,1.11,67,96,3.58,RU,1697580698
2,sumusta as sultani,28.9167,30.85,22.5,58,5,4.02,EG,1697580698
3,alofi,-19.0595,-169.9187,25.94,53,40,9.77,NU,1697580699
4,adamstown,-25.066,-130.1015,22.4,85,100,4.47,PN,1697580699
5,bath,51.3779,-2.3591,12.09,79,100,7.9,GB,1697580454
6,grytviken,-54.2811,-36.5092,0.98,76,64,5.33,GS,1697580506
7,atafu village,-8.5421,-172.5159,28.38,74,98,3.91,TK,1697580701
8,thompson,55.7435,-97.8558,11.31,69,100,1.42,CA,1697580701
9,kirundo,-2.5833,30.1667,17.79,82,78,0.96,BI,1697580702
10,san antonio de pale,-1.4014,5.6325,25.43,80,32,3.09,GQ,1697580536
11,hamilton,39.1834,-84.5333,13.74,65,100,3.09,US,1697580631
12,albany,42.6001,-73.9662,13.52,73,98,1.53,US,1697579918
13,vorkuta,67.5,64.0,1.89,95,100,4.4,RU,1697580704
14,novovarshavka,54.1721,74.6946,9.47,76,6,2.8,RU,1697580704
15,yellowknife,62.456,-114.3525,2.29,100,100,2.06,CA,1697580462
16,ancud,-41.8697,-73.8203,13.0,72,21,0.85,CL,1697580705
17,whitehorse,60.7161,-135.0538,10.57,76,100,4.47,CA,1697580706
18,mata-utu,-13.2816,-176.1745,27.24,79,99,9.08,WF,1697580707
19,urzhar,47.093,81.6294,8.39,39,3,1.42,KZ,1697580708
20,harstad,68.799,16.5293,1.56,91,49,3.58,NO,1697580708
21,afaahiti,-17.75,-149.2833,26.93,83,90,7.29,PF,1697580709
22,udachny,66.4167,112.4,-9.75,85,86,5.29,RU,1697580709
23,la ronge,55.1001,-105.2842,16.14,41,100,2.57,CA,1697580710
24,bedesa,8.9,40.7833,17.38,64,91,1.52,ET,1697580712
25,crawfordsville,40.0411,-86.8745,17.13,47,40,2.06,US,1697580713
26,east london,-33.0153,27.9116,17.33,79,2,8.05,ZA,1697580713
27,severo-yeniseyskiy,60.3725,93.0408,-3.01,98,97,1.34,RU,1697580713
28,carutapera,-1.195,-46.02,26.31,80,61,3.63,BR,1697580714
29,puerto natales,-51.7236,-72.4875,8.99,80,100,1.43,CL,1697580527
30,ushuaia,-54.8,-68.3,6.35,88,100,2.68,AR,1697580715
31,blackmans bay,-43.0167,147.3167,12.63,66,42,0.45,AU,1697580514
32,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697580716
33,punta arenas,-53.15,-70.9167,10.06,66,75,7.72,CL,1697580536
34,rio grande,-32.035,-52.0986,15.06,72,77,8.89,BR,1697580718
35,port moresby,-9.4431,147.1797,25.62,86,99,0.61,PG,1697580718
36,ust-nera,64.5667,143.2,-20.7,95,82,1.59,RU,1697580719
37,bilibino,68.0546,166.4372,-15.02,99,100,1.03,RU,1697580719
38,port-aux-francais,-49.35,70.2167,2.2,74,97,7.19,TF,1697580720
39,bredasdorp,-34.5322,20.0403,15.04,89,0,1.39,ZA,1697580720
40,sao paulo de olivenca,-3.3783,-68.8725,29.52,64,88,0.96,BR,1697580721
41,longyearbyen,78.2186,15.6401,-5.09,68,75,5.14,SJ,1697580722
42,anadyr,64.75,177.4833,-7.72,92,0,5.0,RU,1697580723
43,hadibu,12.65,54.0333,27.13,73,5,2.57,YE,1697580724
44,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1697580534
45,sawakin,19.1059,37.3321,28.09,69,0,2.81,SD,1697580726
46,ilhabela,-23.7781,-45.3581,23.1,94,100,1.87,BR,1697580452
47,talas,38.6908,35.5538,7.37,87,0,2.57,TR,1697580728
48,ghanzi,-21.5667,21.7833,20.29,24,0,3.98,BW,1697580728
49,bikenibeu village,1.3673,173.1241,29.98,74,75,5.66,KI,1697580729
50,musan-up,42.2261,129.2078,7.35,56,100,1.95,KP,1697580729
51,iqaluit,63.7506,-68.5145,-1.28,58,98,1.79,CA,1697580508
52,arantangi,10.1667,78.9833,24.99,94,100,3.01,IN,1697580731
53,centenario,-38.8043,-68.14,24.83,15,0,4.38,AR,1697580732
54,hammerfest,70.6634,23.6821,-0.75,93,75,0.0,NO,1697580732
55,aasiaat,68.7098,-52.8699,-16.92,84,24,2.35,GL,1697580570
56,port mathurin,-19.6833,63.4167,23.76,83,4,4.26,MU,1697580734
57,constantia,44.1833,28.65,10.39,60,100,4.06,RO,1697580734
58,edinburgh of the seven seas,-37.0676,-12.3116,12.68,74,100,5.0,SH,1697580735
59,san sebastian de la gomera,28.0916,-17.1133,25.2,78,20,1.54,ES,1697580736
60,pailin,12.849,102.6093,23.07,94,99,0.67,KH,1697580736
61,chandler,33.3062,-111.8412,38.44,14,0,4.63,US,1697580737
62,nova sintra,14.8667,-24.7167,25.46,71,0,4.64,CV,1697580738
63,auki,-8.7676,160.7034,27.76,70,92,1.21,SB,1697580738
64,san julian,21.0167,-102.1667,23.1,22,97,1.9,MX,1697580739
65,new glasgow,45.5834,-62.6486,9.88,81,100,4.45,CA,1697580740
66,ad dabbah,18.05,30.95,25.85,18,55,5.0,SD,1697580741
67,vila franca do campo,37.7167,-25.4333,21.05,99,70,5.32,PT,1697580741
68,bethel,41.3712,-73.414,15.36,74,100,1.54,US,1697580694
69,mar del plata,-38.0023,-57.5575,11.64,68,0,0.89,AR,1697580482
70,waitangi,-43.9535,-176.5597,9.72,69,31,4.71,NZ,1697580743
71,olonkinbyen,70.9221,-8.7187,0.39,75,100,2.37,SJ,1697580743
72,ebon,4.582,168.6964,27.94,74,65,4.85,MH,1697580744
73,saint-philippe,-21.3585,55.7679,23.77,81,84,2.23,RE,1697580744
74,zeya,53.75,127.2667,-1.4,91,96,1.13,RU,1697580745
75,sitka,57.0531,-135.33,12.94,58,100,6.17,US,1697580745
76,el nido,11.1858,119.3956,27.97,81,69,4.83,PH,1697580745
77,puerto ayora,-0.7393,-90.3518,29.98,89,97,3.13,EC,1697580647
78,dryden,49.7833,-92.7503,14.16,54,75,2.06,CA,1697580746
79,huaura,-11.07,-77.5994,21.57,75,57,4.83,PE,1697580747
80,colonia,50.9333,6.95,8.25,79,0,2.06,DE,1697580747
81,qorovulbozor,39.5006,64.7936,15.84,27,100,3.39,UZ,1697580748
82,utrik,11.2278,169.8474,27.75,80,32,6.82,MH,1697580748
83,puerto carreno,6.189,-67.4859,30.8,63,85,0.86,CO,1697580561
84,wainwright,52.839,-110.8572,9.33,74,100,6.92,CA,1697580749
85,saint-valery-en-caux,49.8667,0.7333,12.09,66,100,7.73,FR,1697580749
86,badger,64.8,-147.5333,2.98,79,100,3.6,US,1697580530
87,chonchi,-42.6128,-73.8092,15.07,64,65,1.56,CL,1697580750
